MSE_f1_H,MSE_f2_H,q(t),H_ratio,MSE_f1_H_2,MSE_f2_H_2,q(t)_2,H_ratio_2
9.776369750249668e-10,9.784967629094146e-10,0.0047255332676399,0.998912228078871,9.776369750249668e-10,9.784967629094146e-10,0.004725533267639914,0.998912228078871
9.794429818760888e-10,9.802702749053164e-10,0.0047259957982443,0.998912135759095,9.794429818760888e-10,9.802702749053166e-10,0.004725995798244376,0.998912135759095
9.81186406508205e-10,9.819823500356574e-10,0.0047264423362752,0.998912046915443,9.81186406508205e-10,9.819823500356574e-10,0.0047264423362752385,0.998912046915443
9.828693151516812e-10,9.836350210813818e-10,0.004726873441128,0.9989119614148336,9.828693151516814e-10,9.836350210813818e-10,0.004726873441128032,0.9989119614148337
9.844937140281534e-10,9.852302611715014e-10,0.0047272896523241,0.9989118791293892,9.844937140281537e-10,9.852302611715014e-10,0.004727289652324118,0.9989118791293891
9.8606155041686e-10,9.867699849127578e-10,0.0047276914902339,0.998911799936226,9.860615504168602e-10,9.867699849127578e-10,0.004727691490233998,0.9989117999362259
9.875747137649463e-10,9.882560495543064e-10,0.0047280794567677,0.998911723717256,9.875747137649463e-10,9.882560495543066e-10,0.004728079456767742,0.9989117237172561
9.890350368341304e-10,9.896902561812531e-10,0.004728454036047,0.9989116503589944,9.890350368341304e-10,9.896902561812531e-10,0.004728454036047069,0.9989116503589944
9.90444296876225e-10,9.910743509299242e-10,0.0047288156950449,0.9989115797523732,9.90444296876225e-10,9.910743509299244e-10,0.0047288156950449295,0.9989115797523733
9.918042168320674e-10,9.924100262200082e-10,0.0047291648842105,0.9989115117925694,9.918042168320676e-10,9.924100262200082e-10,0.004729164884210579,0.9989115117925694
9.931164665472451e-10,9.936989219979755e-10,0.0047295020380585,0.9989114463788314,9.931164665472451e-10,9.936989219979757e-10,0.004729502038058553,0.9989114463788314
9.943826639999591e-10,9.949426269875807e-10,0.0047298275757484,0.9989113834143192,9.943826639999591e-10,9.949426269875809e-10,0.0047298275757484244,0.9989113834143193
9.95604376536445e-10,9.96142679942861e-10,0.0047301419016384,0.9989113228059476,9.956043765364453e-10,9.961426799428612e-10,0.004730141901638474,0.9989113228059475
9.967831221097215e-10,9.97300570900727e-10,0.0047304454058108,0.9989112644642392,9.967831221097217e-10,9.973005709007272e-10,0.004730445405810823,0.9989112644642393
9.979203705176984e-10,9.984177424290142e-10,0.0047307384645959,0.9989112083031776,9.979203705176986e-10,9.984177424290144e-10,0.004730738464595996,0.9989112083031777
9.990175446378432e-10,9.99495590867809e-10,0.0047310214410579,0.9989111542400738,9.990175446378434e-10,9.99495590867809e-10,0.004731021441057904,0.9989111542400738
1.000076021655237e-09,1.0005354675612096e-09,0.004731294685476,0.9989111021954324,1.000076021655237e-09,1.0005354675612096e-09,0.004731294685476084,0.9989111021954323
1.0010971342811312e-09,1.00153868007696e-09,0.0047315585357951,0.9989110520928256,1.0010971342811312e-09,1.00153868007696e-09,0.004731558535795189,0.9989110520928256
1.0020821719602756e-09,1.0025064934125218e-09,0.0047318133180786,0.9989110038587732,1.0020821719602758e-09,1.0025064934125218e-09,0.004731813318078681,0.9989110038587731
1.0030323820646776e-09,1.003440131185557e-09,0.0047320593469252,0.9989109574226238,1.0030323820646776e-09,1.003440131185557e-09,0.004732059346925266,0.9989109574226238
1.0039489710718335e-09,1.004340776806969e-09,0.004732296925884,0.9989109127164468,1.0039489710718335e-09,1.004340776806969e-09,0.004732296925884061,0.9989109127164469
1.0048331057263934e-09,1.0052095746360918e-09,0.0047325263478419,0.9989108696749236,1.0048331057263936e-09,1.0052095746360918e-09,0.004732526347841959,0.9989108696749237
1.0056859141836823e-09,1.0060476311158032e-09,0.0047327478954155,0.9989108282352428,1.0056859141836823e-09,1.0060476311158032e-09,0.004732747895415578,0.9989108282352429
1.0065084871336047e-09,1.0068560158875161e-09,0.0047329618413054,0.9989107883370052,1.0065084871336047e-09,1.006856015887516e-09,0.004732961841305428,0.9989107883370053
1.0073018789048823e-09,1.007635762884918e-09,0.0047331684486619,0.998910749922128,1.0073018789048823e-09,1.007635762884918e-09,0.004733168448661985,0.998910749922128
1.0080671085476966e-09,1.008387871405534e-09,0.0047333679714105,0.9989107129347532,1.0080671085476968e-09,1.0083878714055342e-09,0.004733367971410574,0.9989107129347533
1.0088051608950139e-09,1.0091133071601443e-09,0.0047335606545963,0.9989106773211612,1.0088051608950139e-09,1.0091133071601445e-09,0.00473356065459638,0.9989106773211611
1.009516987601663e-09,1.0098130032993734e-09,0.0047337467346868,0.9989106430296868,1.0095169876016633e-09,1.0098130032993736e-09,0.004733746734686894,0.9989106430296868
1.0102035081606855e-09,1.0104878614168707e-09,0.0047339264398813,0.9989106100106402,1.0102035081606855e-09,1.0104878614168707e-09,0.004733926439881309,0.9989106100106402
1.0108656108966887e-09,1.011138752529612e-09,0.0047340999904073,0.998910578216228,1.0108656108966887e-09,1.011138752529612e-09,0.004734099990407348,0.998910578216228
1.0115041539364774e-09,1.0117665180342776e-09,0.004734267598799,0.9989105476004814,1.0115041539364776e-09,1.0117665180342776e-09,0.004734267598799091,0.9989105476004814
